"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO";"ARQUIVO_FOTO";"B_RUR";"B_EV"
"--";"Expedito Júnior";"PSDB";"RO";1189;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv1189.jpg";;"--";"--"
"--";"Fernando Collor";"PTB";"AL";4525;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4525.jpg";;"--";"--"
"--";"Flexa Ribeiro";"PSDB";"PA";3634;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3634.jpg";;"--";"--"
"--";"Francisco Dornelles";"PP";"RJ";765;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv765.jpg";;"--";"--"
"--";"Garibaldi Alves";"PMDB";"RN";4935;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4935.jpg";;"--";"--"
"--";"Garibaldi Alves Filho";"PMDB";"RN";87;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv87.jpg";;"--";"--"
"--";"Geovani Borges";"PMDB";"AP";4522;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4522.jpg";;"--";"--"
"--";"Gilvam Borges";"PMDB";"AP";30;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv30.jpg";;"--";"--"
"--";"Gim Argello";"PTB";"DF";4776;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4776.jpg";;"--";"--"
"--";"Gleisi Hoffmann";"PT";"PR";5006;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5006.jpg";;"--";"--"
"--";"Humberto Costa";"PT";"PE";5008;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5008.jpg";;"--";"--"
"--";"Inácio Arruda";"PC DO B";"CE";613;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv613.jpg";;"--";"--"
"--";"Itamar Franco";"PPS";"MG";1754;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv1754.jpg";;"--";"--"
"--";"Ivo Cassol";"PP";"RO";5004;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5004.jpg";;"--";"--"
"--";"Ivonete Dantas";"PMDB";"RN";4937;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4937.jpg";;"--";"--"
"--";"Jader Barbalho";"PMDB";"PA";35;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv35.jpg";;"--";"--"
"--";"Jarbas Vasconcelos";"PMDB";"PE";4545;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4545.jpg";;"--";"--"
"--";"Jayme Campos";"DEM";"MT";4531;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4531.jpg";;"--";"--"
"--";"João Alberto Souza";"PMDB";"MA";950;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv950.jpg";;"--";"--"
"--";"João Capiberibe";"PSB";"AP";3394;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3394.jpg";;"--";"--"
"--";"João Durval";"PDT";"BA";4537;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4537.jpg";;"--";"--"
"--";"João Pedro";"PT";"AM";4774;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4774.jpg";;"--";"--"
"--";"João Ribeiro";"PR";"TO";916;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv916.jpg";;"--";"--"
"--";"João Vicente Claudino";"PTB";"PI";4541;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4541.jpg";;"--";"--"
"--";"Joaquim Roriz";"PMDB";"DF";4533;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4533.jpg";;"--";"--"
"--";"Jorge Viana";"PT";"AC";4990;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4990.jpg";;"--";"--"
"--";"José Agripino";"DEM";"RN";40;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv40.jpg";;"--";"--"
