"POLITICO";"SOBRENOME";"NOME_MINUSCULA";"NOME_CASA_MINUSCULA";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"BERNARDO SANTANA DE VASCONCELLOS";"SANTANA DE VASCONCELLOS";"bernardo santana de vasconcellos";"bernardo santana de vasconcellos";"BERNARDO SANTANA DE VASCONCELLOS";"PR";"MG";2312;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189281"
"BETINHO ROSADO";"ROSADO";"betinho rosado";"betinho rosado";"BETINHO ROSADO";"DEM";"RN";983;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189282"
"BETO ALBUQUERQUE";"ALBUQUERQUE";"beto albuquerque";"beto albuquerque";"BETO ALBUQUERQUE";"PSB";"RS";1450;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189283"
"BETO FARO";"FARO";"beto faro";"beto faro";"BETO FARO";"PT";"PA";1768;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189284"
"BETO MANSUR";"MANSUR";"beto mansur";"beto mansur";"BETO MANSUR";"PP";"SP";775;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189285"
"BIFFI";;"biffi";"biffi";"ANTONIO CARLOS BIFFI";"PT";"MS";1539;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189286"
"BILAC PINTO";"PINTO";"bilac pinto";"bilac pinto";"BILAC PINTO";"PR";"MG";1789;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189287"
"BISPO GÊ TENUTA";"GÊ TENUTA";"bispo gê tenuta";"bispo ge tenuta";"BISPO GE TENUTA";"DEM";"SP";1972;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189288"
"BOHN GASS";"GASS";"bohn gass";"bohn gass";"BOHN GASS";"PT";"RS";2405;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189289"
"BONIFÁCIO DE ANDRADA";"DE ANDRADA";"bonifácio de andrada";"bonifacio de andrada";"BONIFACIO DE ANDRADA";"PSDB";"MG";191;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189290"
"BRIZOLA NETO";"NETO";"brizola neto";"brizola neto";"BRIZOLA NETO";"PDT";"RJ";1790;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189291"
"BRUNA FURLAN";"FURLAN";"bruna furlan";"bruna furlan";"BRUNA FURLAN";"PSDB";"SP";2266;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189292"
"BRUNO ARAÚJO";"ARAÚJO";"bruno araújo";"bruno araujo";"BRUNO ARAUJO";"PSDB";"PE";1791;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189293"
"BRUNO RODRIGUES";"RODRIGUES";"bruno rodrigues";"bruno rodrigues";"BRUNO RODRIGUES";"PSDB";"PE";1792;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189294"
"CABO JULIANO RABELO";"RABELO";"cabo juliano rabelo";"cabo juliano rabelo";"CABO JULIANO RABELO";"PSB";"MT";2474;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189295"
"CAMILO COLA";"COLA";"camilo cola";"camilo cola";"CAMILO COLA";"PMDB";"ES";1794;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189296"
