"POLITICO";"SOBRENOME";"NOME_MINUSCULA";"NOME_CASA_MINUSCULA";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"DANIEL FONTANA";"FONTANA";"daniel fontana";"daniel fontana";"DANIEL FONTANA";"PT";"RS";2026;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189359"
"DANILO CABRAL";"CABRAL";"danilo cabral";"danilo cabral";"DANILO CABRAL";"PSB";"PE";2402;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189360"
"DANILO FORTE";"FORTE";"danilo forte";"danilo forte";"DANILO FORTE";"PMDB";"CE";2227;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189361"
"DANRLEI DE DEUS HINTERHOLZ";"HINTERHOLZ";"danrlei de deus hinterholz";"danrlei de deus hinterholz";"DANRLEI DE DEUS HINTERHOLZ";"PSD";"RS";2242;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189362"
"DARCÍSIO PERONDI";"PERONDI";"darcísio perondi";"darcisio perondi";"DARCISIO PERONDI";"PMDB";"RS";999;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189363"
"DAVI ALCOLUMBRE";"ALCOLUMBRE";"davi alcolumbre";"davi alcolumbre";"DAVI ALCOLUMBRE";"DEM";"AP";1594;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189364"
"DAVI ALVES SILVA JÚNIOR";"ALVES";"davi alves silva júnior";"davi alves silva junior";"DAVI ALVES SILVA JUNIOR";"PR";"MA";1809;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189365"
"DÉCIO LIMA";"LIMA";"décio lima";"decio lima";"DECIO LIMA";"PT";"SC";1810;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189366"
"DELEGADO PROTÓGENES";"PROTÓGENES";"delegado protógenes";"delegado protogenes";"DELEGADO PROTOGENES";"PCdoB";"SP";2362;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189367"
"DELEGADO WALDIR";"WALDIR";"delegado waldir";"delegado waldir";"DELEGADO WALDIR";"PSDB";"GO";2431;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189368"
"DELEY";;"deley";"deley";"DELEY";"PSC";"RJ";1569;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189369"
"DEVANIR RIBEIRO";"RIBEIRO";"devanir ribeiro";"devanir ribeiro";"DEVANIR RIBEIRO";"PT";"SP";1570;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189370"
"DIEGO ANDRADE";"ANDRADE";"diego andrade";"diego andrade";"DIEGO ANDRADE";"PSD";"MG";2289;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189371"
"DILCEU SPERAFICO";"SPERAFICO";"dilceu sperafico";"dilceu sperafico";"DILCEU SPERAFICO";"PP";"PR";1001;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189372"
"DIMAS FABIANO";"FABIANO";"dimas fabiano";"dimas fabiano";"DIMAS FABIANO";"PP";"MG";2356;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189373"
"DIMAS RAMALHO";"RAMALHO";"dimas ramalho";"dimas ramalho";"DIMAS RAMALHO";"PPS";"SP";1573;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189374"
"DJALMA BERGER";"BERGER";"djalma berger";"djalma berger";"DJALMA BERGER";"PSB";"SC";1811;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189375"
"DOMINGOS DUTRA";"DUTRA";"domingos dutra";"domingos dutra";"DOMINGOS DUTRA";"PT";"MA";1003;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189376"
"DOMINGOS NETO";"NETO";"domingos neto";"domingos neto";"DOMINGOS NETO";"PSB";"CE";2329;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189377"
"DOMINGOS SÁVIO";"SÁVIO";"domingos sávio";"domingos savio";"DOMINGOS SAVIO";"PSDB";"MG";2235;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189378"
"DR. ADILSON SOARES";"SOARES";"dr. adilson soares";"dr. adilson soares";"DR. ADILSON SOARES";"PR";"RJ";1812;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189379"
"DR. ALUIZIO";"ALUIZIO";"dr. aluizio";"dr. aluizio";"DR. ALUIZIO";"PV";"RJ";2410;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189380"
"DR. BASEGIO";"BASEGIO";"dr. basegio";"dr. basegio";"DR. BASEGIO";"PDT";"RS";1968;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189381"
"DR. CARLOS ALBERTO";"ALBERTO";"dr. carlos alberto";"dr. carlos alberto";"DR. CARLOS ALBERTO";"PMN";"RJ";2420;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189382"
"DR. GRILO";"GRILO";"dr. grilo";"dr. grilo";"DR. GRILO";"PSL";"MG";2234;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189383"
"DR. JORGE SILVA";"SILVA";"dr. jorge silva";"dr. jorge silva";"DR. JORGE SILVA";"PDT";"ES";2326;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189384"
"DR. NECHAR";"NECHAR";"dr. nechar";"dr. nechar";"DR. NECHAR";"PP";"SP";1813;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189385"
"DR. PAULO CÉSAR";"PAULO CÉSAR";"dr. paulo césar";"dr. paulo cesar";"DR. PAULO CESAR";"PSD";"RJ";1982;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189386"
"DR. PINOTTI";"PINOTTI";"dr. pinotti";"dr. pinotti";"DR. PINOTTI";"DEM";"SP";1073;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189387"
"DR. ROSINHA";"ROSINHA";"dr. rosinha";"dr. rosinha";"DR. ROSINHA";"PT";"PR";1436;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189388"
"DR. TALMIR";"TALMIR";"dr. talmir";"dr. talmir";"DR. TALMIR";"PV";"SP";1814;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189389"
"DR. UBIALI";"UBIALI";"dr. ubiali";"dr. ubiali";"DR. UBIALI";"PSB";"SP";1815;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189390"
"DRA. ELAINE ABISSAMRA";"ABISSAMRA";"dra. elaine abissamra";"dra.elaine abissamra";"DRA.ELAINE ABISSAMRA";"PSB";"SP";2440;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189391"
"DUARTE NOGUEIRA";"NOGUEIRA";"duarte nogueira";"duarte nogueira";"DUARTE NOGUEIRA";"PSDB";"SP";1816;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189392"
"DUDIMAR PAXIUBA";"PAXIUBA";"dudimar paxiuba";"dudimar paxiuba";"DUDIMAR PAXIUBA";"PSDB";"PA";2415;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189393"
"EDGAR MOURY";"MOURY";"edgar moury";"edgar moury";"EDGAR MOURY";"PMDB";"PE";1817;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189394"
"EDIGAR MÃO BRANCA";"MÃO BRANCA";"edigar mão branca";"edigar mao branca";"EDIGAR MAO BRANCA";"PV";"BA";1976;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189395"
"EDINHO ARAÚJO";"ARAÚJO";"edinho araújo";"edinho araujo";"EDINHO ARAUJO";"PMDB";"SP";1006;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189396"
"EDINHO BEZ";"BEZ";"edinho bez";"edinho bez";"EDINHO BEZ";"PMDB";"SC";1005;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189397"
"EDINHO MONTEMOR";"MONTEMOR";"edinho montemor";"edinho montemor";"EDINHO MONTEMOR";"PSB";"SP";1739;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189398"
"EDIO LOPES";"LOPES";"edio lopes";"edio lopes";"EDIO LOPES";"PMDB";"RR";1818;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189399"
"EDIR OLIVEIRA";"OLIVEIRA";"edir oliveira";"edir oliveira";"EDIR OLIVEIRA";"PTB";"RS";1497;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189400"
"EDIVALDO HOLANDA JUNIOR";"HOLANDA JUNIOR";"edivaldo holanda junior";"edivaldo holanda junior";"EDIVALDO HOLANDA JUNIOR";"PTC";"MA";2304;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189401"
"EDMAR ARRUDA";"ARRUDA";"edmar arruda";"edmar arruda";"EDMAR ARRUDA";"PSC";"PR";2270;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189402"
"EDMAR MOREIRA";"MOREIRA";"edmar moreira";"edmar moreira";"EDMAR MOREIRA";"PR";"MG";692;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189403"
"EDMILSON VALENTIM";"VALENTIM";"edmilson valentim";"edmilson valentim";"EDMILSON VALENTIM";"PCdoB";"RJ";197;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189404"
"EDSON APARECIDO";"APARECIDO";"edson aparecido";"edson aparecido";"EDSON APARECIDO";"PSDB";"SP";1819;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189405"
"EDSON DUARTE";"DUARTE";"edson duarte";"edson duarte";"EDSON DUARTE";"PV";"BA";1614;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189406"
"EDSON EZEQUIEL";"EZEQUIEL";"edson ezequiel";"edson ezequiel";"EDSON EZEQUIEL";"PMDB";"RJ";1007;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189407"
"EDSON PIMENTA";"PIMENTA";"edson pimenta";"edson pimenta";"EDSON PIMENTA";"PSD";"BA";2351;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189408"
"EDSON SANTOS";"SANTOS";"edson santos";"edson santos";"EDSON SANTOS";"PT";"RJ";1820;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189409"
"EDSON SILVA";"SILVA";"edson silva";"edson silva";"EDSON SILVA";"PSB";"CE";615;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189410"
"EDUARDO AMORIM";"AMORIM";"eduardo amorim";"eduardo amorim";"EDUARDO AMORIM";"PSC";"SE";1821;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189411"
"EDUARDO AZEREDO";"AZEREDO";"eduardo azeredo";"eduardo azeredo";"EDUARDO AZEREDO";"PSDB";"MG";2316;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189412"
"EDUARDO BARBOSA";"BARBOSA";"eduardo barbosa";"eduardo barbosa";"EDUARDO BARBOSA";"PSDB";"MG";1010;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189413"
"EDUARDO CUNHA";"CUNHA";"eduardo cunha";"eduardo cunha";"EDUARDO CUNHA";"PMDB";"RJ";1620;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189414"
"EDUARDO DA FONTE";"FONTE";"eduardo da fonte";"eduardo da fonte";"EDUARDO DA FONTE";"PP";"PE";1822;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189415"
"EDUARDO GOMES";"GOMES";"eduardo gomes";"eduardo gomes";"EDUARDO GOMES";"PSDB";"TO";1623;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189416"
"EDUARDO LOPES";"LOPES";"eduardo lopes";"eduardo lopes";"EDUARDO LOPES";"PRB";"RJ";1971;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189417"
"EDUARDO MOURA";"MOURA";"eduardo moura";"eduardo moura";"EDUARDO MOURA";"PPS";"MT";1990;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189418"
"EDUARDO SCIARRA";"SCIARRA";"eduardo sciarra";"eduardo sciarra";"EDUARDO SCIARRA";"PSD";"PR";1626;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189419"
"EDUARDO VALVERDE";"VALVERDE";"eduardo valverde";"eduardo valverde";"EDUARDO VALVERDE";"PT";"RO";1629;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189420"
"EFRAIM FILHO";"FILHO";"efraim filho";"efraim filho";"EFRAIM FILHO";"DEM";"PB";1823;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189421"
"ELCIONE BARBALHO";"BARBALHO";"elcione barbalho";"elcione barbalho";"ELCIONE BARBALHO";"PMDB";"PA";1011;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189422"
"ELEUSES PAIVA";"PAIVA";"eleuses paiva";"eleuses paiva";"ELEUSES PAIVA";"PSD";"SP";2008;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189423"
"ELI CORREA FILHO";"CORREA FILHO";"eli correa filho";"eli correa filho";"ELI CORREA FILHO";"DEM";"SP";2250;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189424"
"ELIANE ROLIM";"ROLIM";"eliane rolim";"eliane rolim";"ELIANE ROLIM";"PT";"RJ";2423;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189425"
"ELIENE LIMA";"LIMA";"eliene lima";"eliene lima";"ELIENE LIMA";"PSD";"MT";1824;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189426"
"ELISEU PADILHA";"PADILHA";"eliseu padilha";"eliseu padilha";"ELISEU PADILHA";"PMDB";"RS";1014;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189427"
"ELISMAR PRADO";"PRADO";"elismar prado";"elismar prado";"ELISMAR PRADO";"PT";"MG";1825;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189428"
"ELIZEU AGUIAR";"AGUIAR";"elizeu aguiar";"elizeu aguiar";"ELIZEU AGUIAR";"PTB";"PI";1995;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189429"
"EMANUEL FERNANDES";"FERNANDES";"emanuel fernandes";"emanuel fernandes";"EMANUEL FERNANDES";"PSDB";"SP";1232;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189430"
"EMILIA FERNANDES";"FERNANDES";"emilia fernandes";"emilia fernandes";"EMILIA FERNANDES";"PT";"RS";2003;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189431"
"EMILIANO JOSÉ";"JOSÉ";"emiliano josé";"emiliano jose";"EMILIANO JOSE";"PT";"BA";2009;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189432"
"ENÉAS";;"enéas";"eneas";"ENEAS";"PR";"SP";1580;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189433"
"ENIO BACCI";"BACCI";"enio bacci";"enio bacci";"ENIO BACCI";"PDT";"RS";1018;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189434"
"ERIKA KOKAY";"KOKAY";"erika kokay";"erika kokay";"ERIKA KOKAY";"PT";"DF";2403;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189435"
"ERIVELTON SANTANA";"SANTANA";"erivelton santana";"erivelton santana";"ERIVELTON SANTANA";"PSC";"BA";2387;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189436"
"ERNANDES AMORIM";"AMORIM";"ernandes amorim";"ernandes amorim";"ERNANDES AMORIM";"PTB";"RO";1826;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189437"
"EROS BIONDINI";"BIONDINI";"eros biondini";"eros biondini";"EROS BIONDINI";"PTB";"MG";2385;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189438"
"ESPERIDIÃO AMIN";"AMIN";"esperidião amin";"esperidiao amin";"ESPERIDIAO AMIN";"PP";"SC";2413;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189439"
"EUDES XAVIER";"XAVIER";"eudes xavier";"eudes xavier";"EUDES XAVIER";"PT";"CE";1827;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189440"
"EUGÊNIO RABELO";"RABELO";"eugênio rabelo";"eugenio rabelo";"EUGENIO RABELO";"PP";"CE";1828;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189441"
"EUNÍCIO OLIVEIRA";"OLIVEIRA";"eunício oliveira";"eunicio oliveira";"EUNICIO OLIVEIRA";"PMDB";"CE";1307;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189442"
"EURIPEDES MIRANDA";"MIRANDA";"euripedes miranda";"euripedes miranda";"EURIPEDES MIRANDA";"PT";"RO";1023;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189443"
"EVANDRO MILHOMEN";"MILHOMEN";"evandro milhomen";"evandro milhomen";"EVANDRO MILHOMEN";"PCdoB";"AP";1276;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189444"
"FÁBIO FARIA";"FARIA";"fábio faria";"fabio faria";"FABIO FARIA";"PSD";"RN";1829;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189445"
"FÁBIO RAMALHO";"RAMALHO";"fábio ramalho";"fabio ramalho";"FABIO RAMALHO";"PV";"MG";1830;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189446"
"FÁBIO SOUTO";"SOUTO";"fábio souto";"fabio souto";"FABIO SOUTO";"DEM";"BA";1637;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189447"
"FABIO TRAD";"TRAD";"fabio trad";"fabio trad";"FABIO TRAD";"PMDB";"MS";2272;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189448"
"FÁTIMA BEZERRA";"BEZERRA";"fátima bezerra";"fatima bezerra";"FATIMA BEZERRA";"PT";"RN";1640;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189449"
"FÁTIMA PELAES";"PELAES";"fátima pelaes";"fatima pelaes";"FATIMA PELAES";"PMDB";"AP";565;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189450"
"FELIPE BORNIER";"BORNIER";"felipe bornier";"felipe bornier";"FELIPE BORNIER";"PSD";"RJ";1831;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189451"
"FELIPE MAIA";"MAIA";"felipe maia";"felipe maia";"FELIPE MAIA";"DEM";"RN";1832;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189452"
"FÉLIX MENDONÇA";"MENDONÇA";"félix mendonça";"felix mendonca";"FELIX MENDONCA";"DEM";"BA";671;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189453"
"FÉLIX MENDONÇA JÚNIOR";"MENDONÇA JÚNIOR";"félix mendonça júnior";"felix mendonca junior";"FELIX MENDONCA JUNIOR";"PDT";"BA";2307;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189454"
"FERNANDO CHIARELLI";"CHIARELLI";"fernando chiarelli";"fernando chiarelli";"FERNANDO CHIARELLI";"PDT";"SP";2006;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189455"
"FERNANDO CHUCRE";"CHUCRE";"fernando chucre";"fernando chucre";"FERNANDO CHUCRE";"PSDB";"SP";1770;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189456"
"FERNANDO COELHO FILHO";"COELHO FILHO";"fernando coelho filho";"fernando coelho filho";"FERNANDO COELHO FILHO";"PSB";"PE";1833;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189457"
"FERNANDO CORUJA";"CORUJA";"fernando coruja";"fernando coruja";"FERNANDO CORUJA";"PPS";"SC";1445;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189458"
"FERNANDO DE FABINHO";"FABINHO";"fernando de fabinho";"fernando de fabinho";"FERNANDO DE FABINHO";"DEM";"BA";1641;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189459"
"FERNANDO DINIZ";"DINIZ";"fernando diniz";"fernando diniz";"FERNANDO DINIZ";"PMDB";"MG";694;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189460"
"FERNANDO FERRO";"FERRO";"fernando ferro";"fernando ferro";"FERNANDO FERRO";"PT";"PE";1029;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189461"
"FERNANDO FRANCISCHINI";"FRANCISCHINI";"fernando francischini";"fernando francischini";"FERNANDO FRANCISCHINI";"PSDB";"PR";2239;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189462"
"FERNANDO GABEIRA";"GABEIRA";"fernando gabeira";"fernando gabeira";"FERNANDO GABEIRA";"PV";"RJ";1032;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189463"
"FERNANDO GONÇALVES";"GONÇALVES";"fernando gonçalves";"fernando goncalves";"FERNANDO GONCALVES";"PTB";"RJ";1028;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189464"
"FERNANDO JORDÃO";"JORDÃO";"fernando jordão";"fernando jordao";"FERNANDO JORDAO";"PMDB";"RJ";2429;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189465"
"FERNANDO LOPES";"LOPES";"fernando lopes";"fernando lopes";"FERNANDO LOPES";"PMDB";"RJ";730;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189466"
"FERNANDO MARRONI";"MARRONI";"fernando marroni";"fernando marroni";"FERNANDO MARRONI";"PT";"RS";1453;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189467"
"FERNANDO MELO";"MELO";"fernando melo";"fernando melo";"FERNANDO MELO";"PT";"AC";1834;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189468"
"FERNANDO NASCIMENTO";"NASCIMENTO";"fernando nascimento";"fernando nascimento";"FERNANDO NASCIMENTO";"PT";"PE";1996;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189469"
"FERNANDO TORRES";"TORRES";"fernando torres";"fernando torres";"FERNANDO TORRES";"PSD";"BA";2328;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189470"
"FILIPE PEREIRA";"PEREIRA";"filipe pereira";"filipe pereira";"FILIPE PEREIRA";"PSC";"RJ";1835;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189471"
"FLÁVIA MORAIS";"MORAIS";"flávia morais";"flavia morais";"FLAVIA MORAIS";"PDT";"GO";2229;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189472"
"FLAVIANO MELO";"MELO";"flaviano melo";"flaviano melo";"FLAVIANO MELO";"PMDB";"AC";1836;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189473"
"FLAVIO ANTUNES";"ANTUNES";"flavio antunes";"flavio antunes";"FLAVIO ANTUNES";"PSDB";"PB";2021;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189474"
"FLÁVIO BEZERRA";"BEZERRA";"flávio bezerra";"flavio bezerra";"FLAVIO BEZERRA";"PRB";"CE";1837;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189475"
"FLÁVIO DINO";"DINO";"flávio dino";"flavio dino";"FLAVIO DINO";"PCdoB";"MA";1838;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189476"
