"POLITICO";"SOBRENOME";"NOME_MINUSCULA";"NOME_CASA_MINUSCULA";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"ÍRIS DE ARAÚJO";"ARAÚJO";"íris de araújo";"iris de araujo";"IRIS DE ARAUJO";"PMDB";"GO";1851;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=159833"
"IVAN VALENTE";"VALENTE";"ivan valente";"ivan valente";"IVAN VALENTE";"PSOL";"SP";1049;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97521"
"IZALCI";;"izalci";"izalci";"IZALCI";"PR";"DF";1974;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=167686"
"JAIME MARTINS";"MARTINS";"jaime martins";"jaime martins";"JAIME MARTINS";"PR";"MG";1050;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97527"
"JAIR BOLSONARO";"BOLSONARO";"jair bolsonaro";"jair bolsonaro";"JAIR BOLSONARO";"PP";"RJ";731;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=96839"
"JAIRO ATAÍDE";"ATAÍDE";"jairo ataíde";"jairo ataide";"JAIRO ATAIDE";"DEM";"MG";1969;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=165915"
"JANDIRA FEGHALI";"FEGHALI";"jandira feghali";"jandira feghali";"JANDIRA FEGHALI";"PCdoB";"RJ";733;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=98758"
"JANETE CAPIBERIBE";"CAPIBERIBE";"janete capiberibe";"janete capiberibe";"JANETE CAPIBERIBE";"PSB";"AP";1668;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=108194"
"JANETE ROCHA PIETÁ";"ROCHA PIETÁ";"janete rocha pietá";"janete rocha pieta";"JANETE ROCHA PIETA";"PT";"SP";1852;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=160309"
"JÂNIO NATAL";"NATAL";"jânio natal";"janio natal";"JANIO NATAL";"PRP";"BA";2411;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189047"
"JAQUELINE RORIZ";"RORIZ";"jaqueline roriz";"jaqueline roriz";"JAQUELINE RORIZ";"PMN";"DF";2382;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189062"
"JEAN WYLLYS";"WYLLYS";"jean wyllys";"jean wyllys";"JEAN WYLLYS";"PSOL";"RJ";2278;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189128"
